 A.1 Summary Demographics ,,,,,,,,,,,,,,,,,A2. Economic and Housing Demographics,,,,,,,,,,,,,,,,,,A.3 Health Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City,Region,City Type,Metro-area, Metro-area population , City Population ,Population 2013,Population 2018,Population Trend* ,% Hispanic or Latino (of any race),White alone (%),% Black or African American,% American Indian and Alaska Native alone,% Asian alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races,Share Below 100% of the FPL,Share Between 100% and 149% of the FPL,% At or Above 150% of the FPL,Total Unemployment (%),Unemployment rate White alone,Unemployment rate Hispanic or Latino origin of any race,"Unemployment rate White alone, not Hispanic or Latino",Unemployment rate Black or African American alone,Unemployment rate American Indian or Alaska Native alone,Unemployment rate Asian alone,Unemployment rate Native Hawaiian and Other Pacific Islander alone,Unemployment rate Some other race alone,Unemployment rate Two or more races,Percent homeowner ,Percent renter,Renter housing cost burden 35 percent or more,Owner housing cost burden 30-34.9 percent,Owner housing cost burden 35 percent or more,Asthma,Housing with potential lead risk,Cardiovascular Disease Deaths,Physical inactivity,Park Access,Walkability Score,Uninsured,Limited Access to Healthy Foods,Obesity,Air pollution,Life Expectacy,Opioid Overdose Deaths,Low birthweight,Premature mortality rate,Drinking water violations,Average travel time to work all,Average travel time to work white,Average travel time to work black,Average travel time to work latino,Average travel time to work asian or pacific islander,Average travel time to work mixed/other,Average travel time people of color,Average travel time Native American,Transportation affordabilty,Renter housing cost burden 30-34.9 percent,Housing quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH",Midwest,Center City,"Akron, OH Metro Area"," 704,454 "," 198,314 "," 199,038.00 "," 198,314.00 ",losing population,2.45,58.47,29.92,0.22,4.58,0.01,0.21,4.13,23.33,13.91,62.77,8.34,5.9,11.0,5.8,14.5,0.0,2.6,0.0,24.1,11.0,50.6,49.4,43.0,7.5,20.2,10.9,37.6,243.8,37.0,72.8,46.2,8.9,69.0,37.4,9.6,75.0,58.9,11.0,13200.0,59.0,23.3,23.2,25.3,23.2,24.2,20.8,24.3,NA,22.0,8.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ann Arbor, MI",Midwest,Center City,"Ann Arbor, MI Metro Area"," 365,961 "," 120,641 "," 115,331.00 "," 120,641.00 ",plateau,4.69,67.41,6.44,0.17,17.24,0.03,0.28,3.72,22.63,5.80,71.57,4.28,4.1,5.7,4.1,7.2,6.3,4.8,0.0,7.1,7.3,44.8,55.2,45.5,6.3,15.5,9.8,22.1,133.3,18.3,91.2,49.9,2.7,68.3,26.1,8.9,81.9,11.2,6.2,3900.0,42.0,23.3,23.2,25.0,20.8,23.7,25.1,23.8,NA,18.0,7.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bloomington, MN",Midwest,Suburban City,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"," 3,557,528 "," 85,394 "," 84,451.00 "," 85,394.00 ",plateau,8.60,72.84,8.76,0.31,5.74,0.01,0.18,3.55,6.80,4.88,88.32,3.55,2.9,7.0,2.8,6.7,0.5,1.8,0.0,7.5,8.4,67.1,32.9,32.3,5.6,18.2,7.5,17.9,130.2,21.5,84.9,27.7,5.4,78.8,24.0,7.1,81.6,7.2,NA,5200.0,2.0,25.0,25.1,24.9,23.6,24.5,24.3,24.5,26.9,19.0,10.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canton, OH",Midwest,Center City,"Canton-Massillon, OH Metro Area"," 401,053 "," 17,362 "," 17,433.00 "," 17,362.00 ",losing population,2.17,89.30,3.18,0.00,2.19,0.00,0.46,2.71,6.90,6.80,86.30,3.16,8.3,14.0,8.4,19.8,8.0,20.0,0.0,15.8,18.0,47.7,52.3,38.7,7.8,19.4,11.2,42.0,255.7,38.3,75.2,47.8,7.9,68.7,42.2,9.6,75.8,44.7,NA,14000.0,7.0,22.2,22.2,21.9,NA,NA,19.0,21.6,NA,24.0,10.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dayton, OH",Midwest,Center City,"Dayton, OH Metro Area"," 802,645 "," 140,782 "," 143,446.00 "," 140,782.00 ",losing population,3.95,52.68,38.61,0.34,0.93,0.02,0.14,3.33,32.08,13.56,54.36,11.78,8.9,5.4,9.1,16.8,0.0,5.6,6.9,3.2,14.5,47.0,53.0,47.4,6.2,22.6,11.8,41.7,338.0,39.3,75.6,48.4,10.1,77.2,41.7,9.4,72.0,116.2,11.2,18100.0,14.0,21.2,21.0,23.0,20.7,18.8,22.4,22.2,NA,23.0,8.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dearborn, MI",Midwest,Suburban City,"Detroit-Warren-Dearborn, MI Metro Area"," 4,317,179 "," 95,089 "," 97,140.00 "," 95,089.00 ",losing population,3.15,88.01,3.27,0.21,2.43,0.02,0.10,2.81,28.31,12.24,59.45,7.81,7.5,7.3,7.4,11.9,0.0,10.1,0.0,0.0,11.3,66.0,34.0,51.7,5.6,25.5,11.8,39.0,225.5,29.7,63.4,58.7,7.3,33.1,31.6,9.8,79.7,16.5,NA,6100.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,22.0,7.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gary, IN",Midwest,Center City,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"," 9,536,428 "," 76,677 "," 79,922.00 "," 76,677.00 ",losing population,7.32,11.41,79.28,0.11,0.23,0.00,0.20,1.45,33.52,15.64,50.83,13.80,11.6,10.6,13.0,14.3,0.0,5.2,0.0,11.7,15.1,51.3,48.7,49.5,4.8,32.1,12.6,35.3,272.4,41.6,65.5,34.4,11.3,80.7,49.3,9.2,72.0,18.7,NA,15500.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,21.0,8.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Forks, ND",Midwest,Center City,"Grand Forks, ND-MN Metro Area"," 101,991 "," 56,556 "," 53,315.00 "," 56,556.00 ",growing,3.90,83.40,4.35,2.59,3.12,0.10,0.54,2.00,19.86,9.54,70.60,3.84,3.5,6.6,3.5,10.7,16.2,4.0,0.0,7.6,0.6,43.4,56.6,42.4,6.0,12.7,NA,17.3,NA,NA,77.6,47.9,7.0,63.5,NA,5.9,79.6,NA,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,23.0,8.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grand Rapids, MI",Midwest,Center City,"Grand Rapids-Wyoming, MI Metro Area"," 1,050,440 "," 197,081 "," 189,735.00 "," 197,081.00 ",plateau,15.92,59.40,18.42,0.22,2.29,0.02,0.12,3.59,21.24,13.08,65.68,6.67,4.8,8.9,4.3,15.2,0.0,6.8,0.0,6.9,9.9,54.1,45.9,44.1,5.0,17.2,10.7,37.8,261.9,26.5,75.6,56.7,9.2,60.0,33.2,9.0,78.7,17.0,8.8,8400.0,1.0,21.3,21.4,21.2,19.7,19.5,25.3,20.7,NA,22.0,8.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Bay, WI",Midwest,Center City,"Green Bay, WI Metro Area"," 317,702 "," 104,818 "," 104,393.00 "," 104,818.00 ",plateau,15.21,69.65,3.91,3.18,4.19,0.02,0.12,3.72,16.03,11.28,72.69,3.95,3.1,5.0,3.2,9.3,10.0,5.3,0.0,6.6,8.4,55.6,44.4,34.1,6.5,16.4,10.3,23.3,241.9,24.1,74.2,40.6,8.4,72.7,34.6,7.6,79.3,11.7,7.8,8300.0,6.0,NA,NA,NA,NA,NA,NA,NA,NA,23.0,9.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
